"","Description","samples","variable","value","se"
"1","A","MIC_003_HMP","Chao1",9,1.79677351431069
"2","A","MIC_009_HMP","Chao1",34.2,1.83804880017176
"3","A","MIC_010_HMP","Chao1",32.3333333333333,4.11528069413849
"4","A","MIC_011_HMP","Chao1",34,13.1574179480179
"5","A","MIC_012_HMP","Chao1",29,4.15746109526243
"6","A","MIC_013_HMP","Chao1",32.2,4.33344526053889
"7","A","MIC_017_HMP","Chao1",24.25,5.35770638604545
"8","A","MIC_019_HMP","Chao1",26,3.88492234980961
"9","A","MIC_022_HMP","Chao1",24,7.08798866628138
"10","A","MIC_026_HMP","Chao1",36.2,4.33438417630986
"11","A","MIC_033_HMP","Chao1",38.2,10.2064876195876
"12","A","MIC_034_HMP","Chao1",33.2,4.33370122009585
"13","A","MIC_047_HMP","Chao1",27,1.57820807903798
"14","A","MIC_050_HMP","Chao1",32.5,1.29235920227014
"15","A","MIC_052_HMP","Chao1",33,4.59743011217828
"16","A","MIC_055_HMP","Chao1",29,1.81152123791092
"17","A","MIC_056_HMP","Chao1",30.875,5.56025144827817
"18","A","MIC_059_HMP","Chao1",19,2.578249099884
"19","A","MIC_062_HMP","Chao1",34,10.3273622849548
"20","A","MIC_064_HMP","Chao1",33.25,5.36268862384493
"21","A","MIC_065_HMP","Chao1",41.3333333333333,8.84383744607512
"22","B","MIC_005_HMP","Chao1",4,0.21650635094611
"23","B","MIC_006_HMP","Chao1",31.5,2.58429321644651
"24","B","MIC_007_HMP","Chao1",10,2.25831795812724
"25","B","MIC_014_HMP","Chao1",34,4.59939254301108
"26","B","MIC_015_HMP","Chao1",19,2.29988558067799
"27","B","MIC_020_HMP","Chao1",28,10.279574060103
"28","B","MIC_023_HMP","Chao1",26,1.57809524914836
"29","B","MIC_025_HMP","Chao1",16.5,2.22215514418964
"30","B","MIC_027_HMP","Chao1",31.6,1.18406829259084
"31","B","MIC_028_HMP","Chao1",38,3.18041891058888
"32","B","MIC_029_HMP","Chao1",35.5,2.22773609267156
"33","B","MIC_032_HMP","Chao1",28,13.5988444887267
"34","B","MIC_036_HMP","Chao1",32.5,3.15466687257515
"35","B","MIC_037_HMP","Chao1",37.25,9.53643858387889
"36","B","MIC_039_HMP","Chao1",31,0.122967344209491
"37","B","MIC_040_HMP","Chao1",35.5,3.15531074784924
"38","B","MIC_043_HMP","Chao1",23.5,2.57958433069147
"39","B","MIC_044_HMP","Chao1",16.5,3.14726913852359
"40","B","MIC_045_HMP","Chao1",25,7.08942874990644
"41","B","MIC_049_HMP","Chao1",29.5,2.5833561143519
"42","B","MIC_058_HMP","Chao1",26,0.49029033784546
"43","B","MIC_063_HMP","Chao1",16.5,2.57169911996648
"44","B","MIC_066_HMP","Chao1",33.5,2.22744708632732
"45","B","MIC_067_HMP","Chao1",20.8571428571429,1.39252211232816
"46","C","MIC_016_HMP","Chao1",71.5,4.10576411293305
"47","C","MIC_021_HMP","Chao1",15.3333333333333,0.919316182655874
"48","C","MIC_024_HMP","Chao1",81.5,12.1419054979297
"49","C","MIC_030_HMP","Chao1",81,10.7645967509181
"50","C","MIC_031_HMP","Chao1",81,6.64974704800635
"51","C","MIC_042_HMP","Chao1",42,10.3696558238334
"52","C","MIC_053_HMP","Chao1",85,9.25576942815036
"53","C","MIC_054_HMP","Chao1",75,0.248327740429189
"54","C","MIC_057_HMP","Chao1",30.625,4.80933036936765
